Id;Sort SSDLC fase;Sort processtap;SSDLC;Proces;Processtap;Taxonomiecode-deel-1;Niveau-1;Niveau-2;Niveau-3;Activiteit;Bron;HBO-i Id;Leeruitkomst onderdeel niveau 1;Leeruitkomst onderdeel niveau 2;Leeruitkomst onderdeel niveau 3
22;0;1;Overkoepelend;Beheerproces;Managen ontwikkelproces;bm-22;G;V;V;Manage & Control;HBO-i;MC1-1, MC2-2;De student maakt gebruik van een gegeven gemanaged ontwikkelproces.;De student managet het ontwikkelproces.;De student managet het ontwikkelproces.
7;1;1;Requirements;Requirementsanalyseproces;Definiëren probleemdomein;rd-7;V;V;V;Analyseren;Team SE;X;De student definieert het probleemdomein.;De student definieert het probleemdomein.;De student definieert het probleemdomein.
8;1;2;Requirements;Requirementsanalyseproces;Verzamelen requirements;rv-8;V;V;V;Analyseren;HBO-i;AN1-1, AN2-1, AN3-1 + AN3-2;De student verzamelt requirements.;De student verzamelt requirements.;De student verzamelt requirements.
9;1;3;Requirements;Requirementsanalyseproces;Analyseren requirements;ra-9;G;V;V;Analyseren;HBO-i;AN1-1, AN2-1, AN3-1 + AN3-2;De student maakt gebruik van gegeven geanalyseerde requirements.;De student analyseert requirements.;De student analyseert requirements.
10;1;4;Requirements;Requirementsanalyseproces;Specifieren requirements;rs-10;G;V;V;Analyseren;Team SE;X;De student maakt gebruik van gegeven gespecificeerde requirements.;De student specificeert requirements.;De student specificeert requirements.
11;1;5;Requirements;Requirementsanalyseproces;Valideren requirements;rv-11;X;V;V;Adviseren;HBO-i;AD1-1, C,C;De student gaat geen requirements valideren.;De student valideert requirements.;De student valideert requirements.
12;1;6;Requirements;Requirementsanalyseproces;Beheren requirements;rb-12;X;V;V;Manage & Control;Team SE;X;De student gaat geen requirements beheren.;De student beheert requirements.;De student beheert requirements.
1;2;1;Design;Testproces;Opstellen teststrategie;to-1;X;G;V;Ontwerpen;HBO-i;X, ON2-4, ON3-2;De student gaat geen teststrategie gebruiken;De student maakt gebruik van een gegeven opgestelde teststrategie.;De student stelt een teststrategie op.
13;2;1;Design;Pakketselectieproces;Uitvoeren analyse;pu-13;V;V;V;Analyseren;HBO-i;AN1-2, AN2-2, C;De student voert een analyse uit.;De student voert een analyse uit.;De student voert een analyse uit.
15;2;1;Design;Ontwerpproces;Opstellen ontwerp;oo-15;G;V;V;Ontwerpen;HBO-i;ON1-1, ON2-1, ON3-1;De student maakt gebruik van een gegeven opgesteld ontwerp.;De student stelt een ontwerp op.;De student stelt een ontwerp op.
14;2;2;Design;Pakketselectieproces;Adviseren onderdeelselectie;pa-14;X;V;V;Adviseren;HBO-i;AD1-1, AD2-1, AN3-2;De student gaat geen onderdeelselectie adviseren.;De student adviseert over de onderdeelselectie.;De student adviseert over de onderdeelselectie.
16;2;2;Design;Ontwerpproces;Vaststellen kwaliteit;ov-16;G;V;V;Ontwerpen;HBO-i;ON1-2, ON2-3;De student maakt gebruik van een gegeven vastgestelde kwaliteit.;De student stelt de kwaliteit vast.;De student stelt de kwaliteit vast.
17;2;3;Design;Ontwerpproces;Adviseren architectuur;oa-17;V;V;V;Adviseren;HBO-i;AD1-1, AD2-2, AD3-1;De student adviseert over de architectuur.;De student adviseert over de architectuur.;De student adviseert over de architectuur.
18;3;1;Development;Implementatieproces;Inrichten ontwikkelomgeving;ii-18;V;V;V;Realiseren;Team SE;X;De student richt de ontwikkelomgeving in.;De student richt de ontwikkelomgeving in.;De student richt de ontwikkelomgeving in.
19;3;2;Development;Implementatieproces;Bouwen softwaresysteem;ib-19;V;V;V;Realiseren;HBO-i;RE1-1,RE2-1+RE2-2,RE3-1;De student bouwt een softwaresysteem.;De student bouwt een softwaresysteem.;De student bouwt een softwaresysteem.
20;3;3;Development;Implementatieproces;Refactoren applicatie;ir-20;X;X;V;Realiseren;HBO-i;X,X,RE3-3;De student gaat geen applicatie refactoren.;De student gaat geen applicatie refactoren.;De student refactort een applicatie.
21;3;4;Development;Implementatieproces;Beredeneren bouwkeuzes;ib-21;X;V;V;Realiseren;HBO-i;X,RE2-1,C;De student gaat geen bouwkeuzes beredeneren.;De student beredeneert bouwkeuzes.;De student beredeneert bouwkeuzes.
28;3;5;Development;Implementatieproces;Oplossen fouten;io-28;V;V;V;Realiseren;Team SE;X;De studen lost fouten in software op op basis van logs en het doorlopen van de IDE;De studen lost fouten in software op op basis van logs en het doorlopen van de IDE;De studen lost fouten in software op op basis van logs en het doorlopen van de IDE
2;4;2;Testing;Testproces;Opstellen testontwerp;to-2;X;V;V;Ontwerpen;HBO-i;X, ON2-4, ON3-2;De student gaat geen testontwerp opstellen.;De student stelt een testontwerp op.;De student stelt een testontwerp op.
3;4;3;Testing;Testproces;Opstellen test;to-3;V;V;V;Realiseren;HBO-i;RE1-2, RE2-3, RE3-2;De student stelt een test op.;De student stelt een test op.;De student stelt een test op.
4;4;4;Testing;Testproces;Uitvoeren test;tu-4;V;V;V;Realiseren;HBO-i;RE1-2, RE2-3, RE3-1+RE3-2;De student voert een test uit.;De student voert een test uit.;De student voert een test uit.
5;4;5;Testing;Testproces;Evalueren test;te-5;X;V;V;Realiseren;HBO-i;X, RE2-2, RE3-2;De student gaat geen test evalueren.;De student evalueert een test.;De student evalueert een test.
23;5;2;Deployment;Beheerproces;Beheren ontwikkelstraat;bb-23;X;V;V;Manage & Control;HBO-i;MC2-1;De student gaat geen ontwikkelstraat beheren.;De student beheert de ontwikkelstraat.;De student beheert de ontwikkelstraat.
24;5;3;Deployment;Beheerproces;Gebruiken beheersysteem;bg-24;V;V;V;Realiseren;HBO-i;;De student gebruikt het beheersysteem.;De student gebruikt het beheersysteem.;De student gebruikt het beheersysteem.
25;5;4;Deployment;Beheerproces;Beschikbaarstellen software;bb-25;X;X;V;Realiseren;HBO-i;X,X,RE3-1;De student gaat geen software beschikbaarstellen.;De student gaat geen software beschikbaarstellen.;De student stelt software beschikbaar.
26;5;5;Deployment;Beheerproces;Evalueren ontwikkelstraat;be-26;X;X;V;Manage & Control;HBO-i;X,X,MC3-2;De student gaat geen ontwikkelstraat evalueren.;De student gaat geen ontwikkelstraat evalueren.;De student evalueert de ontwikkelstraat.
6;5;6;Deployment;Testproces;Adviseren testproces;ta-6;X;X;V;Adviseren;HBO-i;AD3-3;De student gaat geen testproces adviseren.;De student gaat geen testproces adviseren.;De student gaat geen testproces adviseren.
27;5;6;Deployment;Beheerproces;Uitvoeren configuratie-, change- en releasemangement;bu-27;X;X;V;Manage & Control;HBO-i;X,X,MC3-1;De student gaat geen configuratie-, change- en releasemanagement uitvoeren.;De student gaat geen configuratie-, change- en releasemanagement uitvoeren.;De student voert configuratie-, change- en releasemanagement uit.
